# model dataset graph n_nodes n_4_cliques
ER_iid hamsterster res_74.txt 2000 129995
ER_iid hamsterster res_75.txt 2000 131178
ER_iid hamsterster res_76.txt 2000 147988
ER_iid hamsterster res_77.txt 2000 149354
ER_iid hamsterster res_78.txt 2000 124617
ER_iid hamsterster res_79.txt 2000 153488
ER_iid hamsterster res_7.txt 2000 151385
ER_iid hamsterster res_80.txt 2000 155562
ER_iid hamsterster res_81.txt 2000 152353
ER_iid hamsterster res_82.txt 2000 147906
ER_iid hamsterster res_83.txt 2000 139948
ER_iid hamsterster res_84.txt 2000 125871
ER_iid hamsterster res_85.txt 2000 133804
ER_iid hamsterster res_86.txt 2000 135110
ER_iid hamsterster res_87.txt 2000 155483
ER_iid hamsterster res_88.txt 2000 127385
ER_iid hamsterster res_89.txt 1999 124869
ER_iid hamsterster res_8.txt 2000 116944
ER_iid hamsterster res_90.txt 1999 139446
ER_iid hamsterster res_91.txt 2000 140607
ER_iid hamsterster res_92.txt 1998 122699
ER_iid hamsterster res_93.txt 2000 158271
ER_iid hamsterster res_94.txt 1999 113389
ER_iid hamsterster res_95.txt 2000 121124
ER_iid hamsterster res_96.txt 1998 133449
ER_iid hamsterster res_97.txt 2000 131081
ER_iid hamsterster res_98.txt 2000 121852
ER_iid hamsterster res_99.txt 2000 122014
ER_iid hamsterster res_9.txt 2000 149274
ER_iid polblogs res_0.txt 1222 398418
ER_iid polblogs res_10.txt 1222 416481
ER_iid polblogs res_11.txt 1222 319992
ER_iid polblogs res_12.txt 1222 483587
ER_iid polblogs res_13.txt 1222 418790
ER_iid polblogs res_14.txt 1222 397330
ER_iid polblogs res_15.txt 1222 405268
ER_iid polblogs res_16.txt 1222 394910
ER_iid polblogs res_17.txt 1222 390573
ER_iid polblogs res_18.txt 1222 421511
ER_iid polblogs res_19.txt 1222 427935
ER_iid polblogs res_1.txt 1222 539593
ER_iid polblogs res_20.txt 1222 400051
ER_iid polblogs res_21.txt 1221 462026
ER_iid polblogs res_22.txt 1222 380960
ER_iid polblogs res_23.txt 1222 483011
ER_iid polblogs res_24.txt 1219 412508
ER_iid polblogs res_25.txt 1222 457569
ER_iid polblogs res_26.txt 1222 387306
ER_iid polblogs res_27.txt 1222 365872
ER_iid polblogs res_28.txt 1222 355752
ER_iid polblogs res_29.txt 1222 382255
ER_iid polblogs res_2.txt 1222 440734
ER_iid polblogs res_30.txt 1221 425444
ER_iid polblogs res_31.txt 1222 406710
ER_iid polblogs res_32.txt 1222 468693
ER_iid polblogs res_33.txt 1222 415674
ER_iid polblogs res_34.txt 1222 369086
